"k,""Rayyan.ID"",""Title"",""Year"",""Species..Latin."",""Species..English."",""Genetic.line..if.applicable."",""Order"",""Family"",""Recording.location"",""Group.context"",""Juveniles.present."",""Number.of.animals"",""Number.of.vocalizations..total.recorded."",""Number.of.vocalizations..included.in.analysis."",""Call.classification"",""Full.repertoire.analysed."",""Repertoire.size..hand..total."",""Repertoire.size..hand..juvenile....indicate.how.many.calls.of.total.repertoire.are.juvenile."",""Repertoire.size..automated."",""Graded.vs.discrete..do.authors.mention.reportoire.is.graded.."",""Data.availability"",""Notes"",""Preselected.non.noisy.calls"",""Spectrogram.type"",""FFT.size"",""Window.type"",""Overlap...."",""Bandpass.filtered"",""High.pass.freq.threshold"",""Low.pass.freq.threshold"",""Notes..preprocess."",""Package"",""Number.of.features"",""Multi.unit.calls."",""Characteristics.general"",""Syllables.units"",""Repeated.measurements.at.multiple.locations.in.call."",""PRAAT.measures"",""AvisoftSAS.Lab.Pro.measurements"",""Raven.Pro.measurements"",""warblR.measurements"",""Custom.features"",""Custom.measurement.of."",""Notes.call.features"",""Language"",""analysis_methods"",""Analysis.based.on."",""Notes.analysis"",""Open.access"",""License"",""Done."",""key"",""title"",""year"",""month"",""day"",""journal"",""issn"",""volume"",""issue"",""pages"",""authors"",""url"",""language"",""publisher"",""location"",""notes"",""doi"",""keywords"",""pubmed_id"",""pmc_id"",""PDF.files"",""n_animals"",""n_recs_analysed"",""juvenile"",""rep_size""";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"17/08/2025 19:47:30,""rayyan-305068102"",""A non-human primate combinatorial system for long-distance communication"",2024,""Procolobus verus"",""Olive colobus monkey"","""",""Primates"",""Cercopithecidae"",""field"",""group"",""Unknown"",""not reported"",NA,"""",""Automated"",""Yes"","""",NA,""2"",""No"",""Yes, preprocessed"","""",""no"","""",""2048"",""Hanning/Hann"","""","""",NA,NA,"""",""Raven Pro"",""2"",""No"",""duration"","""","""","""","""",""max/peak frequency"","""","""","""","""",""R"",""Partitioning Around Medoids (PAM) clustering"",""features"","""",""Yes"",""CC BY 4.0"",""x"",""rayyan-305068102"",""A non-human primate combinatorial system for long-distance communication."",2024,11,15,""iscience"",""2589-0042 (Electronic)"",27,11,""111172"",""Gallot Q and Depriester C and Moran S and Zuberbühler K"",""https://pubmed.ncbi.nlm.nih.gov/39559758/"",""eng"",NA,""United States"",""RAYYAN-INCLUSION: {""""Dori""""=>""""Included""""}"",""10.1016/j.isci.2024.111172"","""",""39559758"",""PMC11570502"",NA,-1,NA,0,NA";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"23/12/2025 20:01:55,""rayyan-380414578"",""Vocal repertoire of sooty mangabeys (Cercocebus torquatus atys) in the Taï National Park"",2004,""Cercocebus atys"",""sooty mangabey"","""",""Primates"",""Cercopithecidae"",""field"",""group"",""Yes"",""48"",NA,""163"",""Hand"",""Yes"",""19"",NA,"""",""No"",""No"","""","""","""",""1024"","""","""","""",NA,NA,"""",""LMA"",""12"",""Some"",""duration"",""number of units, unit range (units/s)"","""","""","""","""","""",""Df1chfre (number of times the course of the first dominant frequency band crosses the smoothed average)"; Df1fretr (Regression function describing the trend of the 1st dominant frequency band); time to max F1;  ;;;;;;;;;;;;;;;;;;;;;;;;;
F1 mean;  F2 mean; F1 1st quartile; F1 second quartile; freq bandwidth;" mean freq bandwidth"",""formants"","""",""SPSS"",""DFA"",""features"","""",""Yes"","""",""x"",""rayyan-380414578"",""Vocal repertoire of sooty mangabeys (Cercocebus torquatus atys) in the Taï National Park"",2004,NA,NA,""ethology"",""0179-1613"",110,4,""301-321"",""Range, Friederike and Fischer, Julia"","""","""",NA,"""","""","""","""","""","""",NA,48,163,0,19";;;;;;;;;;;;;;;;;;;;;;;
"28/12/2025 09:35:54,""rayyan-380414579"",""Vocal repertoire of Cebus capucinus: acoustic structure, context, and usage"",2008,""Cebus capucinus"",""white-faced capuchin"","""",""Primates"",""Cebidae"",""field"",""group"",""Unknown"","""",NA,"""",""Hand"",""Yes"",""27"",2,"""",""Yes"",""No"","""","""","""",""1024"",""Hanning/Hann"","""","""",NA,NA,"""",""LMA"",""14"",""Some"",""duration"",""inter unit interval, number of units"","""","""","""","""","""",""first dominant start freq"; end freq; mean freq; second dominant start freq; end freq; mean freq; freq bandwidth; freq at Q1 of amp; freq at Q2 of freq; overall amplitude;  mean frequency of amplitude distribution for the first quartile; second quartile of amplitude distribution; 1/call duration (ms) × location of peak frequency (ms);" min amplitude loc"",""dominant frequency, amplitude"","""",""SPSS"",""DFA, PCA"",""features"","""",""No"","""",""x"",""rayyan-380414579"",""Vocal repertoire of Cebus capucinus: acoustic structure, context, and usage"",2008,NA,NA,""international journal of primatology"",""0164-0291"",29,3,""641-670"",""Gros-Louis, Julie J and Perry, Susan E and Fichtel, Claudia and Wikberg, Eva and Gilkenson, Hannah and Wofsy, Susan and Fuentes, Alex"","""","""",NA,"""","""","""","""","""","""",NA,NA,NA,2,27";;;;;;;;;;;;;;;
"13/01/2026 11:57:29,""rayyan-380414581"",""Baboon vocal repertoires and the evolution of primate vocal diversity"",2019,""Papio ursinus"",""chacma baboon"","""",""Primates"",""Cercopithecidae"",""field"",""group"",""Unknown"",""79"",NA,""675"",""Automated"",""Yes"","""",NA,""6"",""Yes"",""No"","""",""yes"","""","""","""","""","""",NA,NA,"""",""LMA"",""9"",""No"",""duration"","""","""","""","""","""","""",""mean F0"; Q2 freq; Mean difference between regression function andactual value of the DFB1; time seg consistency; Mean difference across all time segments; Mean difference between regression function andactual value of the PF; noise %;" Harmonic to noise ratio in the first third of the overallcall frequency (1 = no noise)"",""F0, peak frequency"","""",""SPSS"",""DFA, two-step clustering"",""features"","""",""No"","""",""x"",""rayyan-380414581"",""Baboon vocal repertoires and the evolution of primate vocal diversity"",2019,NA,NA,""journal of human evolution"",""0047-2484"",126,NA,""1-13"",""Hammerschmidt, Kurt and Fischer, Julia"","""","""",NA,"""","""","""","""","""","""",NA,79,675,0,NA";;;;;;;;;;;;;;;;;;;;;
"04/01/2026 08:58:39,""rayyan-380414583"",""Vocal repertoire in the European badger (Meles meles): structure, context, and function"",1999,""Meles meles"",""European badger"","""",""Carnivora"",""Mustelidae"",""field"",""group"",""Yes"","""",NA,""594"",""Hand"",""Yes"",""16"",8,"""",""Yes"",""No"","""",""yes"","""","""","""","""","""",NA,NA,"""",""Waves+"",""4"",""Some"",""duration"",""inter unit interval, number of units"","""","""","""","""","""",""F0 bandwidth"",""F0"","""",""SPSS"",""DFA, agglomerative hierarchical clustering"",""features"","""",""No"","""",""x"",""rayyan-380414583"",""Vocal repertoire in the European badger (Meles meles): structure, context, and function"",1999,NA,NA,""journal of mammalogy"",""1545-1542"",80,2,""570-588"",""Wong, Josephine and Stewart, Paul D and Macdonald, David W"","""","""",NA,"""","""","""","""","""","""",NA,NA,594,8,16";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"21/12/2025 20:29:05,""rayyan-380414588"",""Notes on vocalisations of giant otters in the flooded Igapó forests of Jaú National Park, Amazonas, Brazil"",2011,""Pteronura brasiliensis"",""giant otter"","""",""Carnivora"",""Mustelidae"",""field"",""group"",""Yes"","""",NA,""24"",""Hand"",""No"",""5"",1,"""",""No"",""No"","""",""no"","""",""1024"",""Hanning/Hann"","""","""",NA,NA,"""",""BatSound"",""10"",""Some"",""duration"",""number of units"","""","""","""","""","""",""max freq"; min freq; start freq; end freq; freq bandwidth; time to max; time max to end;" peak freq"",""peak frequency"","""",""SPSS"",""DFA"",""features"","""",""No"","""",""x"",""rayyan-380414588"",""Notes on vocalisations of giant otters in the flooded Igapó forests of Jaú National Park, Amazonas, Brazil"",2011,NA,NA,""journal of ethology"",""0289-0771"",29,1,""169-175"",""Bezerra, BM and Souto, AS and Schiel, N and Jones, G"","""","""",NA,"""","""","""","""","""","""",NA,NA,24,1,5";;;;;;;;;;;;;;;;;;;;;
"19/12/2025 06:56:55,""rayyan-380414589"",""The vocal repertoire of Formosan macaques, Macaca cyclopis: acoustic structure and behavioral context"",2005,""Macaca cyclopis"",""Formosan macaque"","""",""Primates"",""Cercopithecidae"",""field"",""group"",""Yes"",""63"",NA,"""",""Hand"",""Yes"",""25"",5,"""",""Yes"",""No"",""Unclear about license, but paper freely available as pdf from publisher"","""","""",""1024"",""Hamming"","""","""",NA,NA,"""",""Canary"",""9"",""Some"",""duration"","""","""","""","""","""","""",""min F0"; max F0; highest freq; lowest freq; peak freq; median F0; bandwidth F0;" freq range"",""F0"","""",""Statistical Analysis System"",""DFA"",""features"","""",""Yes"",""unclear"",""x"",""rayyan-380414589"",""The vocal repertoire of Formosan macaques, Macaca cyclopis: acoustic structure and behavioral context"",2005,NA,NA,""zoological studies-taipei-"",""1021-5506"",44,2,""275"",""Hsu, Minna J and Chen, Li-Ming and Agoramoorthy, Govindasamy"","""","""",NA,"""","""","""","""","""","""",NA,63,NA,5,25";;;;;;;;;;;;;;;;;;;;;
"12/01/2026 17:26:37,""rayyan-380414611"",""Characterizing Vocal Repertoires—Hard vs. Soft Classification Approaches"",2015,""Papio ursinus"",""chacma baboon"","""",""Primates"",""Cercopithecidae"",""field"",""group"",""Yes"",""78"",NA,""912"",""Automated"",""Yes"","""",NA,"""",""Yes"",""Yes, preprocessed"","""",""yes"","""",""1024"",""Hamming"",""96.87"","""",NA,NA,"""",""LMA"",""9";38;" 118"",""No"",""duration"","""","""","""","""","""","""","""","""",""See word doc"",""MATLAB"",""K-means clustering, fuzzy c-means";" hierarchical clustering"",""features"","""",""Yes"",""CC BY 4.0"",""x"",""rayyan-380414611"",""Characterizing Vocal Repertoires—Hard vs. Soft Classification Approaches"",2015,4,27,""plos one"","""",10,4,""e0125785"",""Wadewitz, Philip and Hammerschmidt, Kurt and Battaglia, Demian and Witt, Annette and Wolf, Fred and Fischer, Julia"",""https://doi.org/10.1371/journal.pone.0125785"","""",NA,"""","""","""",""10.1371/journal.pone.0125785"","""","""",NA,78,912,0,NA";;;;;;;;;;;;;;;;;;;;;;;;;
"19/12/2025 22:03:47,""rayyan-380414613"",""Vocal acoustics in the endangered proboscis monkey (Nasalis larvatus)"",2014,""Nasalis larvatus"",""proboscis monkey"","""",""Primates"",""Cercopithecidae"",""field"",""group"",""Unknown"","""",NA,""1173"",""Hand"",""Yes"",""4"",NA,"""",""No"",""No"","""",""yes"","""","""","""","""",""Yes"",5,30000,"""",""Praat"",""8"",""Some"",""duration"","""","""",""mean F0, max F0, min F0, std F0"","""","""","""",""HNR"; % voiced;" time to peak"","""","""",""SPSS"",""DFA"",""features"","""",""No"","""",""x"",""rayyan-380414613"",""Vocal acoustics in the endangered proboscis monkey (Nasalis larvatus)"",2014,2,1,""american journal of primatology"",""0275-2565"",76,2,""192-201"",""Röper, K.M. and Scheumann, M. and Wiechert, A.B. and Nathan, S. and Goossens, B. and Owren, M.J. and Zimmermann, E."",""https://doi.org/10.1002/ajp.22221"","""",NA,"""","""","""",""10.1002/ajp.22221"",""acoustics";loud calls;non-invasive tool for conservation;proboscis monkeys;"vocalizations"","""",NA,NA,1173,0,4";;;;;;;;;;;;;;;;;;;;;;
"01/01/2026 17:45:46,""rayyan-380414636"",""Graded or discrete? A quantitative analysis of Campbell's monkey alarm calls"",2013,""Cercopithecus campbelli"",""Campbell's monkey"","""",""Primates"",""Cercopithecidae"",""field"",""group"",""Yes"","""",4157,""3344"",""Automated"",""Yes"","""",NA,""4"",""Yes"",""No"","""",""yes"","""",""512"",""Hanning/Hann"","""","""",NA,NA,"""",""Raven Pro"",""7"",""Some"",""duration"","""","""","""","""","""","""",""start PF"; middle PF; end PF; start to middle PF; middle to end PF;" 'oo' present"",""peak frequency"","""",""SPSS"",""PCA, two-step clustering, K-means clustering"",""features"","""",""No"","""",""x"",""rayyan-380414636"",""Graded or discrete? A quantitative analysis of Campbell's monkey alarm calls"",2013,1,1,""animal behaviour"",""0003-3472"",85,1,""109-118"",""Keenan, Sumir and Lemasson, Alban and Zuberbühler, Klaus"",""https://www.sciencedirect.com/science/article/pii/S0003347212004745"","""",NA,"""","""","""",""10.1016/j.anbehav.2012.10.014"",""vocal repertoire";alarm call;Campbell's monkey;discrete signal;graded signal;nonhuman primate;"referential"","""",NA,NA,3344,0,NA";;;;;;;;;;;;;;;;;
"05/01/2026 15:16:54,""rayyan-380414646"",""Classification of African Elephant Loxodonta africana Rumbles Using Acoustic Parameters and Cluster Analysis"",2005,""Loxodonta africana"",""african elephant"","""",""Proboscidea"",""Elephantidae"",""field"",""group"",""Unknown"","""",975,""663"",""Automated"",""No"","""",NA,""3"",""Yes"",""No"","""",""yes"","""","""","""","""","""",NA,NA,"""",""Cool Edit Pro"",""20"",""No"",""duration"","""",""60 points in the frequency contour"","""","""","""","""",""coefficient of freq modulation"; jitter factor; frequency variability index; inflection factor; min freq; end freq; max freq; mean freq; peak amp freq; freq bandwidth; peak freq/mean freq; mean freq/min freq; time to max amp; time to max peak; time to min peak; start slope; middle slope;" end slope"",""F0, peak frequency"","""",""S-PLUS"",""MCLUST"",""features"","""",""No"","""",""x"",""rayyan-380414646"",""CLASSIFICATION OF AFRICAN ELEPHANT LOXODONTA AFRICANA RUMBLES USING ACOUSTIC PARAMETERS AND CLUSTER ANALYSIS"",2005,1,1,""bioacoustics"",""0952-4622"",15,2,""143-161"",""WOOD, JASON D. and MCCOWAN, BRENDA and LANGBAUER JR., WILLIAM R. and VILJOEN, JOZUA J. and HART, LYNETTE A."",""https://doi.org/10.1080/09524622.2005.9753544"","""",NA,"""","""",""<p>doi: 10.1080/09524622.2005.9753544</p>"",""10.1080/09524622.2005.9753544"","""","""",NA,NA,663,0,NA";;;;;;;;;;;
"30/12/2025 12:42:08,""rayyan-380414654"",""Vocal Repertoire of Golden-backed Uakaris (Cacajao melanocephalus): Call Structure and Context"",2010,""Cacajao melanocephalus"",""golden-backed uakari"","""",""Primates"",""Pitheciidae"",""field"",""group"",""Yes"",""46"",NA,""509"",""Hand"",""Yes"",""9"",1,"""",""No"",""No"","""","""","""",""1024"",""Hanning/Hann"","""","""",NA,NA,"""",""BatSound"",""11"",""No"",""duration"","""","""","""","""","""","""",""max F0"; min F0; start F0; end F0; F0bandwidth; time to max F0; time max F0 to end; peak freq; number of harmonics;" freq F0 to F1"",""F0, peak frequency"","""",""SPSS"",""DFA"",""features"","""",""No"","""",""x"",""rayyan-380414654"",""Vocal Repertoire of Golden-backed Uakaris (Cacajao melanocephalus): Call Structure and Context"",2010,10,1,""international journal of primatology"",""1573-8604"",31,5,""759-778"",""Bezerra, Bruna Martins and Souto, Antonio S. and Jones, Gareth"",""https://doi.org/10.1007/s10764-010-9427-1"","""",NA,"""","""","""",""10.1007/s10764-010-9427-1"","""","""",NA,46,509,1,9";;;;;;;;;;;;;;;;;;;
"31/12/2025 23:42:34,""rayyan-380414655"",""Western Gorilla Vocal Repertoire and Contextual Use of Vocalizations"",2013,""Gorilla gorilla"",""western gorilla"","""",""Primates"",""Hominidae"",""field"",""group"",""Yes"",""13"",11738,""2163"",""Hand"",""Yes"",""17"",3,"""",""Yes"",""No"","""",""yes"","""",""1024"",""Hamming"","""","""",NA,NA,"""",""LMA"",""28"",""Some"",""duration"","""","""","""","""","""",""freq.median, freq.Q25"",""dfa1mean"; dfa1maloc; dfa2mean; dfa2maloc; df1max; df1min; df1mean; df1maloc; df1miloc; df1trfak; df2max; df2mean; df3mean; diffmean; diffreq; ampratio1; fp1max; fp1mean; fp1amean; ranmean; pfmax; pfmin; pfmean; pfmaloc; pftrfak; % noise;" % tonal"",""F0, peak frequency, amplitude"",""extracted in LMA but used Warblr features for speed"",""SPSS"",""DFA"",""features"","""",""No"","""",""x"",""rayyan-380414655"",""Western Gorilla Vocal Repertoire and Contextual Use of Vocalizations"",2013,10,1,""ethology"",""0179-1613"",119,10,""831-847"",""Salmi, Roberta and Hammerschmidt, Kurt and Doran-Sheehy, Diane M."",""https://doi.org/10.1111/eth.12122"","""",NA,"""","""","""",""10.1111/eth.12122"","""","""",NA,13,2163,3,17";;
"04/12/2025 16:14:18,""rayyan-380414661"",""Aerial Vocalizations by Wild and Rehabilitating Mediterranean Monk Seals (Monachus monachus) in Greece."",2011,""Monachus monachus"",""Mediterranean monk seal"","""",""Carnivora"",""Phocidae"",""field"",""group"",""Yes"",""8"",NA,"""",""Hand"",""No"",""4"",NA,"""",""No"",""No"","""",""no"","""","""","""","""","""",NA,NA,""not reported"",""Spectrogram Version 16"",""9"",""Some"",""duration"",""unit duration, inter unit interval, number of units"","""","""","""","""","""",""start freq";" end freq, max freq, min freq, harmonic interval"","""","""",""MYSTAT"",""PCA"",""features"","""",""No"","""",""x"",""rayyan-380414661"",""Aerial Vocalizations by Wild and Rehabilitating Mediterranean Monk Seals (Monachus monachus) in Greece."",2011,NA,NA,""aquatic mammals"",""0167-5427"",37,3,"""",""Muñoz, Gabriela and Karamanlidis, Alexandros A and Dendrinos, Panagiotis and Thomas, Jeanette A"","""","""",NA,"""","""","""","""","""","""",NA,8,NA,0,4";;;;;;;;;;;;;;;;;;;;;;;;;;;
"11/01/2026 12:20:48,""rayyan-380414683"",""Vocalizations in red deer (Cervus elaphus), sika deer (Cervus nippon), and red × sika hybrids"",1998,""Cervus elaphus"",""red deer"","""",""Artiodactyla"",""Cervidae"",""field"",""group"",""Unknown"","""",NA,"""",""Hand"",""No"",""2"",NA,"""",""No"",""No"","""",""no"","""","""","""","""","""",NA,NA,"""","" Cool Edit"",""15"",""No"",""duration"","""",""10 points in F0 profile"","""","""","""","""",""min F0"; max F0; time to max F0;" time to min F0"",""F0"","""",""SPSS"",""DFA"",""features"","""",""No"","""",""x"",""rayyan-380414683"",""Vocalizations in red deer (Cervus elaphus), sika deer (Cervus nippon), and red × sika hybrids"",1998,1,1,""journal of zoology"",""0952-8369"",244,1,""123-134"",""Long, A. M. and Moore, N.P. and Hayden, T. J."",""https://doi.org/10.1111/j.1469-7998.1998.tb00014.x"","""",NA,"""","""","""",""10.1111/j.1469-7998.1998.tb00014.x"",""vocalizations";Cervus elaphus;Cervus nippon;hybrids;"rutting"","""",NA,NA,NA,0,2";;;;;;;;;;;;;;;;;;;;;
"31/12/2025 10:13:41,""rayyan-380414740"",""Vervets revisited: A quantitative analysis of alarm call structure and context specificity"",2015,""Chlorocebus pygerythrus"",""vervet monkey"","""",""Primates"",""Cercopithecidae"",""field"",""group"",""Yes"","""",NA,""504"",""Automated"",""No"",""4"",NA,"""",""Yes"",""No"","""",""yes"","""",""1024"",""Hamming"",""93.75"",""Highpass"",100,NA,"""",""LMA";" Avisoft SASlab Pro"",""10"",""Some"",""duration"",""number of units"","""","""",""peak frequency, Q25, Q50, entropy"","""","""",""Maximum difference between successive peak frequencies"; Mean frequency of the first global frequency peak; Mean amplitude of the first global frequency peak; Mean frequency range;" "",""peak frequency, amplitude"","""",""SPSS"",""two-step clustering"",""features"","""",""Yes"",""CC BY 4.0"",""x"",""rayyan-380414740"",""Vervets revisited: A quantitative analysis of alarm call structure and context specificity"",2015,NA,NA,""scientific reports"",""2045-2322"",5,1,""13220"",""Price, Tabitha and Wadewitz, Philip and Cheney, Dorothy and Seyfarth, Robert and Hammerschmidt, Kurt and Fischer, Julia"","""","""",NA,"""","""","""","""","""","""",NA,NA,504,0,4";;;;;;;;;;;;;;;;;;;;;;;
"14/01/2026 17:01:56,""rayyan-380414751"",""Vocalization analyses of nocturnal arboreal mammals of the Taita Hills, Kenya"",2020,""Dendrohyrax sp."",""tree hyrax"","""",""Hyracoidea"",""Procaviidae"",""field"","""",""Unknown"","""",NA,""253"",""Hand"",""No"",""3"",NA,"""",""Yes"",""Yes, preprocessed"",""songs with 5 syllable types"",""yes"","""",""512"",""Hanning/Hann"",""50"","""",NA,NA,"""",""Raven Pro"",""10"",""No"",""duration"","""","""","""","""",""energy, aggregate entropy, max/peak frequency, max/peak power, center frequency, 1st quartile frequency"","""",""min freq"; max freq;" freq bandwidth"","""","""",""R";" SPSS"",""multinomial regression analysis"",""features"","""",""Yes"",""CC BY 4.0"",""x"",""rayyan-380414751"",""Vocalization analyses of nocturnal arboreal mammals of the Taita Hills, Kenya"",2020,NA,NA,""diversity"",""1424-2818"",12,12,""473"",""Rosti, Hanna and Pihlström, Henry and Bearder, Simon and Pellikka, Petri and Rikkinen, Jouko"","""","""",NA,"""","""","""","""","""","""",NA,NA,253,0,3";;;;;;;;;;;;;;;;;;;;;;;;;
"30/12/2025 21:47:54,""rayyan-380414770"",""Novel Glaucomys volans vocalizations in Indiana and evidence of geographic variation in high frequency communication"",2016,""Glaucomys volans"",""southern flying squirrel"","""",""Rodentia"",""Sciuridae"",""field"","""",""Unknown"","""",NA,""523"","""",""No"",""11"",NA,"""",""No"",""No"","""",""yes"","""","""","""","""","""",NA,NA,""not reported"",""AnalookW"",""8"",""No"",""duration"","""","""","""","""","""","""",""max freq"; min freq; characteristic freq; syllable knee freq; mean freq; time to characteristic freq;" time to knee freq"","""","""",""SAS"",""DFA"",""features"","""",""No"","""",""x"",""rayyan-380414770"",""Novel Glaucomys volans vocalizations in Indiana and evidence of geographic variation in high frequency communication"",2016,NA,NA,""journal of mammalogy"",""1545-1542"",97,4,""1219-1227"",""Eisinger, Joseph W and Scheibe, John S and Flaherty, Elizabeth A"","""","""",NA,"""","""","""","""","""","""",NA,NA,523,0,11";;;;;;;;;;;;;;;;;;;;;;
"03/01/2026 18:52:18,""rayyan-380414797"",""The structure of voice signals of Siberian chipmunk (Tamias sibiricus Laxmann 1769";" Rodentia: Sciuridae)"",2006,""Tamias sibiricus"",""Siberian chipmunk"","""",""Rodentia"",""Sciuridae"",""field"","""",""Unknown"",""36"",NA,""198"",""Hand"",""Yes"",""2"",NA,"""",""No"",""No"","""",""no"","""","""","""","""","""",NA,NA,"""",""Sound Forge"",""19"",""No"",""duration"","""",""Frequency at 20 points in call"","""","""","""","""",""min freq";" max freq"","""","""",""Statistica"",""PCA"",""features"","""",""Yes"","""",""x"",""rayyan-380414797"",""The structure of voice signals of Siberian chipmunk (Tamias sibiricus Laxmann 1769";" Rodentia: Sciuridae)"",2006,NA,NA,""russian journal of theriology. русский териологический журнал"",""1682-3559"",5,2,""93-98"",""Lissovsky, Andrey A and Obolenskaya, Ekaterina V and Emelyanova, Ludmila G"","""","""",NA,"""","""","""","""","""","""",NA,36,198,0,2";;;;;;;;;;;;;;;;;;;;;;;;;
"10/01/2026 12:26:40,""rayyan-380414800"",""Pattern analysis of acoustical behavior in four species of ground squirrels"",1978,""Urocitellus columbianus"",""Columbian ground squirrel"","""",""Rodentia"",""Sciuridae"",""field"","""",""Unknown"","""",NA,"""",""Hand"",""Yes"",""9"",NA,"""",""No"",""No"","""",""yes"","""","""","""","""","""",NA,NA,"""",""not specified"","""","""","""","""","""","""","""","""","""","""","""","""",""NT-SYS"",""UPGMA cluster analysis";" matrix correlation"",""spectrogram"",""Spectrogram to array by coding each area as 1-4 intensity"",""No"","""",""x"",""rayyan-380414800"",""Pattern analysis of acoustical behavior in four species of ground squirrels"",1978,NA,NA,""journal of mammalogy"",""1545-1542"",59,4,""677-696"",""Koeppl, JW and Hoffmann, RS and Nadler, CF"","""","""",NA,"""","""","""","""","""","""",NA,NA,NA,0,9";;;;;;;;;;;;;;;;;;;;;;;;;;;
"23/12/2025 11:55:44,""rayyan-380414801"",""Vocalizations of Belding's ground squirrels (Spermophilus beldingi)"",1984,""Urocitellus beldingi"",""Belding's ground squirrel"","""",""Rodentia"",""Sciuridae"",""field"",""group"",""Unknown"","""",NA,""312"",""Hand"",""No"",""4"",NA,"""",""Yes"",""No"","""",""no"","""","""","""","""","""",NA,NA,"""",""Voice-Identification 700 Sonagraph"",""22"",""Some"",""duration"",""unit duration, inter unit interval, number of units"",""first, middle, last note"","""","""","""","""",""start freq"; end freq; freq bandwidth; max freq;" min freq"","""","""",""SPSS"",""DFA"",""features"","""",""No"","""",""x"",""rayyan-380414801"",""Vocalizations of Belding's ground squirrels (Spermophilus beldingi)"",1984,NA,NA,""animal behaviour"",""0003-3472"",32,3,""753-764"",""Leger, Daniel W and Berney-Key, Susan D and Sherman, Paul W"","""","""",NA,"""","""","""","""","""","""",NA,NA,312,0,4";;;;;;;;;;;;;;;;;;;;;;;;
"27/10/2025 12:26:59,""rayyan-305067471"",""Preliminary observations on squirrel monkey (Saimiri oerstedi) vocalizations in Costa Rica."",1988,""Saimiri oerstedi"",""squirrel monkey"",""subspecies oerstedi and citrinellus"",""Primates"",""Cebidae"",""field, lab"",""group"",""Yes"",""unknown"",NA,""1283"",""Hand"",""Yes"",""3"",NA,"""",""Yes"",""No"","""",""yes"","""","""","""","""","""",NA,NA,""not reported"",""Kay Sona-Graph"",""7"",""No"",""duration"","""","""","""","""","""","""",""peak freq"; peak freq loc; mean freq; mid slope; front slope;" tail slope"",""peak frequency"","""",""not specified"",""DFA"",""features"","""",""No"","""",""x"",""rayyan-305067471"",""Preliminary observations on squirrel monkey (Saimiri oerstedi) vocalizations in Costa Rica."",1988,NA,NA,""american journal of primatology"",""1098-2345 (Electronic)"",14,4,""329-343"",""Boinski S and Newman JD"",""https://pubmed.ncbi.nlm.nih.gov/31968913/"",""eng"",NA,""United States"",""RAYYAN-INCLUSION: {""""Dori""""=>""""Included""""}"",""10.1002/ajp.1350140403"","""",""31968913"","""",NA,-1,1283,0,3";;;;;;;;;;;;;;;;;;;;;;;
"15/12/2025 15:35:57,""rayyan-380414771"",""The vocal repertoire of Spermophilus tridecemlineatus"",1977,""Spermophilus Tridecemlineatus"",""thirteen-lined ground squirrel"","""",""Rodentia"",""Sciuridae"",""field, lab"",""group, solitary"",""Unknown"",""34"",NA,""53"",""Hand"",""Yes"",""5"",NA,"""",""No"",""No"",""1 mechanical call"","""","""","""","""","""","""",NA,NA,"""",""Tektronix 564B"",""8"",""Some"",""duration"",""unit duration, inter unit interval, number of units, unit range (units/s)"","""","""","""","""","""",""length in msec from peak amplitude to 10% displacement for a single pulse"; dominant frequency;" pulse with maximum amplitude"",""dominant frequency"","""",""BMD 07M"",""DFA"","""","""",""No"","""",""x"",""rayyan-380414771"",""The vocal repertoire of Spermophilus tridecemlineatus"",1977,NA,NA,""american midland naturalist"",""0003-0031"",NA,NA,""482-487"",""Matocha, Kenneth G"","""","""",NA,"""","""","""","""","""","""",NA,34,53,0,5";;;;;;;;;;;;;;;;;;;;;;;;;;
"18/08/2025 13:22:52,""rayyan-305067096"",""Vocal repertoire and individuality in the plains zebra (Equus quagga)."",2024,""Equus quagga"",""plains zebra"","""",""Perissodactyla"",""Equidae"",""field, zoo"",""group, solitary"",""No"",""unclear"",NA,""678"",""Hand, Automated"",""Yes"",""5"",NA,""4"",""No"",""Yes, preprocessed"","""",""yes"","""",""1323"",""Hanning/Hann"","""",""Highpass"",NA,NA,""30 Hz for snorts and soft snorts, above 500 Hz for squeals and above 600 Hz for quagga quagga"",""Praat"",""12"",""Some"",""duration"","""","""",""mean F0, max F0, min F0, range F0, Q25, Q50, Q75, peak frequency, amplitude variation, amplitude modulation rate, amplitude modulation extent"","""","""","""","""","""","""",""Python"",""CNN, UMAP, SHAP"",""features, spectrogram"",""CNN-spectrogram";" SHAP-features"",""Yes"",""CC BY 4.0"",""x"",""rayyan-305067096"",""Vocal repertoire and individuality in the plains zebra (Equus quagga)."",2024,7,NA,""royal society open science"",""2054-5703 (Print)"",11,7,""240477"",""Xie B and Daunay V and Petersen TC and Briefer EF"",""https://pubmed.ncbi.nlm.nih.gov/39076369/"",""eng"",NA,""England"",""RAYYAN-INCLUSION: {""""Dori""""=>""""Included""""}"",""10.1098/rsos.240477"","""",""39076369"",""PMC11286140"",NA,-1,678,0,5";;;;;;;;;;;;;;;;;;;;;;;;;;;
